###    1  2  3  4  5  6  7  8  9 10   11 12 13 14 15 16 17 18 19 20   21 22 23 24 25 26 27 28 29 30   31 32 33 34 35 36 37 38 39 40   
###   41 42 43 44 45 46 47 48 49 50   51 52 53 54 55 56 57 58 59 60   61 62 63 64 65 66 67 68 69 70   71 72 73 74 75 76 77 78 79 80   
 13a  16 16 21 23 18 24 18 15 22 26   16 13 20 12 17 20 15 17 13  9   17 16 18 17 13 14 14 14 16 18   15 15 15 22 13 17 14 18 14 15   
 13b  19 15 17 15 19 16 21 16 22 14   19 15 14 21 15 16 21 17 16 14   19 21 18 18 16 18 18 25 15 23   20 19 18 18 17 20 16 16 16 16   
 14a  16 16 21 20 20 17 22 20 15 17   16 14 18 16 19 20 17 18 18 13   17 14 22 23 16 16 14 14 15 16   15 17 11 15 18 17 12 16 17 14   
 14b  19 12 17 20 17 15 15 15 17 18   19 18 16 14 21 20 14 21 17 18   18 17 17 19 15 19 21 19 23 20   17 18 22 17 25 24 16 16 16 16   
 15a  16 16 20 17 22 17 20 12 17 22   21 18 15 19 18 14 19 20 19 15   17 16 16 21 12 17 12 15 16 10   13 16 18 14 19 14 15 19 18 13   
 15b  16 19 16 20 16 17 13 21 17 22   20 16 16 18 25 17 23 20 15 19    8 19 24 18 19 21 24 20 20 18   19 16 18 19 16 20 16 16 16 16   
 16a  16 16 22 16 20 17 16 17 16 21   17 22 22 18 16 15 20 17 12 18   23 15 17 15 14  9 15 24 15 16   17 16 10 16 19 22 16 21 17 16   
 16b  18 14 15 18 18 21 13 14 20 21   19 22 15 18 16 21 18 17 18 12   16 20 18 16 16 16 21 15 20 19   23 13 19 17 22 22 16 16 16 16   
 17a  16 16 21 19 15 19 21 19 19 21   16 20 26 26 18 19 18 21 14 16   11 22 20 20 17 17 16 16 14 22   15 12  9 18 17 14 14 16 18 17   
 17b  15 15 16 13 25 19 19 16 18 26   11 20 21 22 14 19 21 22 21 20   14 21 20 17 18 21 16 19 25 17   19 19 15 18 13 15 16 16 16 16   
 18a  16 16 22 18 18 17 17 15 13 21   18 18 16 18 13 16 16 18 16 13   19 19 19 17 12 16 13 19 15 19   12 13 14 23 16 12 18 16 18 12   
 18b  15 14 17 16 18 15 19 18 18 13   18 19 22 23 20 19 19 20 26 16   18 28 19 20 24 22 14 22 20 15   17 22 22 16 17 20 16 16 16 16   
 19a  16 16 23 16 22 21 21 20 20 14   14 16 15 15 16 13 16 19 16 24   12 19 13 16 14 15 18 23 13 20   17 15 11 15 14 14 17 18 14 16   
 19b  16 19 18 18 12 21 14 19 18 20   18 15 19 15 18 17 19 19 12 21   15 14 16 15 22 19 13 16 22 24   14 23 16 20 19 17 16 16 16 16   
 20a  16 16 21 18 12 18 21 14 17 17   11 21 22 16 18 14 21 20 15 18   17 18 20 19 11 15 14 12 10 13   20 18 18 13 19 14 15 14 20 15   
 20b  14 19 20 18 14 14 12 19 18 19   20 21 15 15 20 20 15 24 19 20   21 16 16 20 16 17 17 16 20 23   18 29 19 19 17 23 16 16 16 16   
 21a  16 16 28 14 18 17 22 18 19 19   15 16 18 21 14 17 17 13 17 23   16 13 18 18 16 13 17 15 12 17   18 14 13 20 13 18 16 20 17 17   
 21b  17 17 17 22 17 18 19 20 15 20   19 23 24 18 16 17 24 22 20 23   17 17 19 16 24 19 19 13 22 22   23 20 19 16 19 24 16 16 16 16   
 22a  16 16 16 16 18 17 16 17 23 14   17 19 14 22 16 14 21 15 18 15   16 18 12 14 16 10 15 18 18 15   19 16 12 17 22 14 18 14 19 18   
