###    1  2  3  4  5  6  7  8  9 10   11 12 13 14 15 16 17 18 19 20   21 22 23 24 25 26 27 28 29 30   31 32 33 34 35 36 37 38 39 40   
###   41 42 43 44 45 46 47 48 49 50   51 52 53 54 55 56 57 58 59 60   61 62 63 64 65 66 67 68 69 70   71 72 73 74 75 76 77 78 79 80   
 20b  11 12 15 23 16  9 12 14 18 17   19 18 13 19 20 21 15 14 19 15   18 18 20 16 18 19 19 19 23 15   20 22 22 20 20 19 16 16 16 16   
 21a  16 16 12 15 16 14 15 14 14 14   14 12 18 17 13 16 15 11 17 18   14 16 10 15 20  8 12 10 15 12   11 16 11 16  9  6 15 16 18 13   
 21b  10 10 18 16 19 13 11 11 15 16   12 18 12 20 19 20 24 17 18 19   13 16 18 22 17 15 16 15 21 16   19 25 23 22 18 17 16 16 16 16   
 22a  16 16 12 17 19 17 16 18 11 20   12  9 13  5 12 12 15 14  9 16   10 17  7 13 15 14 11 16 11 13   11 14 16 13  9 10 15 12 16  9   
 22b  17 13 13 11 12 12 10 11 17 14   15 13 19 19 23 15 19 16 22 21   21 17 21 16 14 16 18 21 17 17   19 22 19 18 16 23 16 16 16 16   
 23a  16 16 11  8 14 14 12 12 18 15   13 18  8  4 16 14 15  9 14 15   11 10  8 12 11 10 13 15 13 21   11 10 13  8 13 11 14 17 15 12   
 23b  18 15 17 10 13 20  8 19 17 13   10 14 17 20 23 17 22 19 21 16   20 21 19 21 23 22 19 21 18 22   20 15 15 19 19 16 16 16 16 16   
 24a  16 16 11 13 13 16 16 16 12 13   11 14 11 14  6 17 12 19  9 15   13 15  8 14 15 20  8 12 13 15   15 13 15 17 14 10 18 17 18 11   
 24b  14 18 13 25 11 12 15 10 13 18   16 18 14 17 18 20 17 18 16 17   15 17 20 22 24 13  9 18 22 15   16 18 19 19 19 18 16 16 16 16   
 25a  16 16 14  6 16  9 18 10 13 11   10 13 15  7 16 22 12 11 12 17   19 12 11 11  9  9 13 14 18 19   13 14 14 20 14 14 15 16 17 14   
